Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,65000
Jaguar,F-Type,2021,3.0,380.0,339.0,4.9,63100
Mercedes-Benz,AMG GT Black Series,2021,4.0,720.0,590.0,3.1,325000
Ford,GT,2021,3.5,647.0,550.0,3.0,500000
Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.4,307820
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797.0,707.0,3.5,80190
Alfa Romeo,4C Spider,2020,1.8,237.0,258.0,4.1,68745
Subaru,WRX STI,2022,2.5,310.0,290.0,5.2,38170
Bugatti,Chiron Super Sport 300+,2022,8.0,1578.0,1180.0,2.3,5200000
McLaren,Senna,2020,4.0,789.0,590.0,2.7,1500000
Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,65000
Audi,RS 7 Sportback,2022,4.0,591.0,590.0,3.5,114000
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,102550
Lamborghini,Aventador,2022,6.5,770.0,531.0,2.8,393695
Lamborghini,Aventador S,2022,6.5,729.0,507.0,2.9,460247
Audi,RS 6 Avant,2022,4.0,591.0,590.0,3.1,110045
Mercedes-Benz,AMG C 63 S,2021,4.0,503.0,516.0,3.7,77400
Nissan,370Z Nismo,2020,3.7,350.0,276.0,5.0,46815
Audi,TT RS,2021,2.5,394.0,354.0,3.6,67895
Chevrolet,Corvette Z06,2023,5.5,625.0,650.0,2.6,85000
Lamborghini,Urus,2022,4.0,641.0,626.0,3.2,218009
Mercedes-Benz,AMG GT 63 S,2021,4.0,630.0,664.0,3.1,162900
Ferrari,Portofino M,2022,3.9,612.0,560.0,3.5,245000
Bugatti,Chiron,2021,8.0,1479.0,1180.0,2.5,3000000
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,100200
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,74750
Bentley,Continental GT,2021,6.0,626.0,664.0,3.3,218400
BMW,M5,2021,4.4,600.0,553.0,3.2,103500
Dodge,Challenger Hellcat,2021,6.2,717.0,656.0,3.5,70595
Ford,GT,2022,3.5,647.0,550.0,3.0,500000
McLaren,570S,2021,3.8,562.0,443.0,3.1,203500
Mercedes-Benz,SLS AMG,2015,6.2,583.0,479.0,3.6,221580
Nissan,370Z Nismo,2020,3.7,350.0,276.0,4.7,47190
Porsche,Boxster,2021,2.0,300.0,280.0,4.9,62000
Porsche,718 Cayman,2022,2.0,300.0,280.0,4.9,61500
Lamborghini,Aventador,2021,6.5,759.0,531.0,2.9,393695
Ferrari,Roma,2021,3.9,612.0,561.0,3.3,222630
Audi,RS 5,2022,2.9,444.0,442.0,3.5,75400
McLaren,570S,2020,3.8,562.0,443.0,3.1,208000
BMW,M2,2022,3.0,405.0,406.0,4.2,58900
Mercedes-Benz,SL,2022,3.0,429.0,384.0,4.9,96250
Chevrolet,Camaro,2021,6.2,455.0,455.0,4.0,25000
Porsche,Panamera,2022,2.9,325.0,331.0,5.2,88550
Audi,RS 6,2022,4.0,591.0,590.0,3.5,109000
Audi,RS 7,2022,4.0,591.0,590.0,3.5,117000
BMW,M4,2021,3.0,473.0,406.0,4.0,72800
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.5,228000
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,48000
Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.2,307820
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,93000
Bentley,Continental GT,2021,4.0,626.0,664.0,3.3,202500
Rolls-Royce,Dawn,2021,6.6,563.0,605.0,4.3,346300
Bugatti,Chiron Pur Sport,2021,8.0,1500.0,1180.0,2.3,3599000
McLaren,Senna,2019,4.0,789.0,590.0,2.7,1050000
Aston Martin,DB11,2021,4.0,503.0,498.0,3.7,205600
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,201000
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.5,3000000
Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,67000
Dodge,Challenger Hellcat,2021,6.2,717.0,656.0,3.5,64000
Ferrari,812 Superfast,2021,6.5,789.0,530.0,2.8,340000
Lamborghini,Aventador SVJ,2021,6.5,770.0,531.0,2.8,517770
Mercedes-AMG,GT Black Series,2021,4.0,720.0,590.0,3.1,325000
Nissan,400Z,2023,3.0,400.0,350.0,4.0,40000
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,101000
Toyota,Supra,2021,3.0,382.0,368.0,3.9,43000
BMW,M2,2022,3.0,405.0,406.0,4.1,58900
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.8,45000
Dodge,Charger Hellcat,2021,6.2,707.0,650.0,3.6,69995
Aston Martin,DBS Superleggera,2021,5.2,715.0,663.0,3.2,305000
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,75000
Audi,TT RS,2021,2.5,394.0,354.0,3.6,68000
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,203825
Chevrolet,Corvette Stingray,2021,6.2,495.0,470.0,2.9,58900
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,63000
Ford,Mustang GT,2022,5.0,460.0,420.0,4.0,45000
Ferrari,Roma,2022,3.9,612.0,560.0,3.3,222630
McLaren,570S,2021,3.8,562.0,443.0,2.7,204995
BMW,M4,2022,3.0,473.0,406.0,4.1,71800
Mercedes-Benz,SLS AMG,2021,6.2,622.0,468.0,3.5,243600
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,47190
Audi,RS6,2022,4.0,591.0,590.0,3.5,113000
Mercedes-Benz,GT 63,2021,4.0,577.0,590.0,3.3,161200
Aston Martin,DBS Superleggera,2021,5.2,715.0,663.0,3.2,310000
Pagani,Huayra,2021,6.0,764.0,737.0,3.0,2600000
McLaren,Senna,2021,4.0,789.0,590.0,2.7,1000000
Porsche,918 Spyder,2015,4.6,887.0,944.0,2.2,1800000
Lamborghini,Aventador SVJ,2020,6.5,759.0,531.0,2.8,517000
Audi,RS 6 Avant,2021,4.0,591.0,590.0,3.5,110000
Bentley,Continental GT Speed,2022,6.0,650.0,664.0,3.5,300000
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,68000
Mercedes-AMG,GT Black Series,2021,4.0,720.0,590.0,3.1,330000
Aston Martin,DB11,2021,4.0,503.0,513.0,3.9,205000
Bentley,Continental GT,2022,4.0,542.0,568.0,3.9,229000
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100000
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,135000
Porsche,Boxster,2022,2.0,300.0,280.0,4.9,63000
Alfa Romeo,4C,2020,1.8,237.0,258.0,4.2,67150
Chevrolet,Camaro,2022,6.2,455.0,455.0,4.0,62195
Dodge,Challenger,2022,3.6,305.0,268.0,6.4,28000
Mercedes-Benz,AMG C 63,2021,4.0,469.0,479.0,3.8,69900
Nissan,370Z,2021,3.7,350.0,276.0,5.3,30090
Porsche,Cayman,2022,2.0,300.0,280.0,4.9,68000
BMW,i8,2022,1.5,369.0,184.0,4.2,147500
Lamborghini,Aventador S,2021,6.5,729.0,507.0,2.9,417650
Audi,RS7,2022,4.0,591.0,590.0,3.5,115000
McLaren,GT,2022,4.0,620.0,465.0,3.1,208000
Mercedes-Benz,SLS AMG,2021,4.0,730.0,590.0,2.9,250000
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,46100
Porsche,Panamera Turbo S,2022,4.0,630.0,604.0,3.1,180000
Ferrari,Portofino,2022,3.9,591.0,561.0,3.4,250000
Audi,TT RS,2022,2.5,394.0,354.0,3.6,70000
McLaren,570S,2021,3.8,562.0,443.0,3.1,200000
Ferrari,Portofino,2022,3.9,612.0,561.0,3.3,245000
Audi,TT RS,2022,2.5,394.0,354.0,3.6,67800
McLaren,GT,2022,4.0,620.0,465.0,3.1,211300
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.5,222500
Chevrolet,Camaro SS,2022,6.2,455.0,455.0,4.0,43995
Porsche,911 Turbo S,2022,3.8,640.0,590.0,2.6,208000
BMW,M5 Competition,2022,4.4,617.0,553.0,3.1,103500
Aston Martin,Vantage,2022,4.0,503.0,505.0,3.5,152995
Ferrari,F8 Spider,2021,3.9,710.0,568.0,2.9,274280
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,102550
Audi,RS6 Avant,2021,4.0,591.0,590.0,3.5,109000
BMW,M4,2022,3.0,473.0,406.0,3.8,71800
Mercedes-Benz,AMG GT R,2021,4.0,577.0,516.0,3.5,180000
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,690.0,642.0,3.0,190000
Lamborghini,Urus,2021,4.0,641.0,627.0,3.5,218000
Ferrari,Portofino M,2021,3.9,612.0,561.0,3.4,235000
Audi,TT RS,2022,2.5,394.0,354.0,3.6,67600
Mercedes-Benz,SLS AMG Black Series,2021,6.2,622.0,468.0,3.5,335000
Porsche,718 Boxster,2022,2.0,300.0,280.0,4.9,63000
Lamborghini,Aventador SVJ,2020,6.5,759.0,531.0,2.8,573966
Audi,TT RS Coupe,2022,2.5,394.0,354.0,3.5,68000
McLaren,GT,2020,4.0,612.0,465.0,3.1,210000
BMW,Z4 Roadster,2022,2.0,255.0,295.0,5.2,50000
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.6,200000
Chevrolet,Camaro SS Convertible,2022,6.2,455.0,455.0,4.0,49000
Nissan,370Z Coupe,2020,3.7,332.0,270.0,5.0,30090
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,142086
Bentley,Continental GT,2022,6.0,626.0,664.0,3.3,225000
Bugatti,Chiron,2021,8.0,1479.0,1180.0,2.4,3000000
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,68000
Jaguar,F-Type,2022,2.0,296.0,295.0,5.4,63700
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,98395
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,689.0,642.0,3.0,190000
Lamborghini,Aventador SVJ,2021,6.5,759.0,531.0,2.8,517000
Mercedes-Benz,S63 AMG,2021,4.0,603.0,664.0,3.4,168000
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64500
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.7,46000
Porsche,718 Cayman GT4,2022,4.0,414.0,309.0,4.2,102000
Mercedes-AMG,C63 S Coupe,2021,4.0,503.0,516.0,3.7,77500
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,147000
McLaren,570S,2021,3.8,562.0,443.0,3.1,193000
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,64000
Mercedes-AMG,GT 63 S,2021,4.0,630.0,664.0,3.1,162000
Audi,RS 5,2022,2.9,444.0,443.0,3.5,76700
McLaren,570S Spider,2020,3.8,562.0,443.0,3.1,208800
BMW,M2 Competition,2022,3.0,405.0,406.0,4.2,58900
Mercedes-Benz,C 63 AMG,2022,4.0,469.0,479.0,3.9,69000
Ford,Mustang GT,2022,5.0,460.0,420.0,4.5,43000
Dodge,Challenger R/T,2021,5.7,372.0,400.0,5.1,35000
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,151000
Alfa Romeo,4C Spider,2020,1.7,237.0,258.0,4.1,69000
Jaguar,F-Type,2022,2.0,296.0,295.0,5.4,62500
Bugatti,Chiron Super Sport 300+,2021,8.0,1578.0,1180.0,2.4,5200000
Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,63000
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,142086
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505.0,443.0,3.8,83250
Audi,RS 7 Sportback,2021,4.0,591.0,590.0,3.5,114000
BMW,M4 Competition,2022,3.0,503.0,479.0,3.8,74700
Mercedes-Benz,C63 S AMG,2022,4.0,503.0,516.0,3.9,77600
Porsche,Panamera Turbo S,2022,4.0,630.0,604.0,2.9,181100
Lamborghini,Aventador S,2021,6.5,730.0,507.0,2.9,417826
Aston Martin,DBS Superleggera,2022,5.2,715.0,664.0,3.2,329100
Mercedes-Benz,AMG C43 Coupe,2021,3.0,385.0,384.0,4.5,59900
Chevrolet,Corvette Stingray,2021,6.2,490.0,465.0,2.9,59900
Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,517000
Ferrari,Roma,2021,3.9,611.0,560.0,3.3,222620
Mercedes-Benz,C63 AMG,2021,4.0,469.0,479.0,3.9,77000
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.1,43995
Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.1,51720
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.8,46610
Porsche,Panamera,2022,2.9,325.0,331.0,5.3,88550
Audi,RS6,2022,4.0,591.0,590.0,3.5,120000
BMW,M4,2022,3.0,503.0,479.0,3.8,74000
Mercedes-Benz,AMG A45,2021,2.0,382.0,354.0,4.0,50000
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,63995
Bentley,Continental GT,2021,4.0,542.0,568.0,3.3,202500
Bugatti,Chiron,2022,8.0,1479.0,1180.0,2.4,2900000
Ferrari,F8 Tributo,2022,3.9,710.0,568.0,2.8,275000
McLaren,GT,2021,4.0,612.0,465.0,3.1,201500
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797.0,707.0,3.5,80190
Jaguar,F-Type,2021,3.0,380.0,339.0,4.4,62750
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92000
Rolls-Royce,Ghost,2021,6.8,563.0,627.0,4.6,332500
Porsche,Taycan,2021,2.0,402.0,254.0,5.1,81250
Aston Martin,DB11,2021,4.0,630.0,516.0,3.7,198995
Chevrolet,Camaro,2022,6.2,455.0,455.0,4.0,25000
Dodge,Charger,2021,6.2,797.0,707.0,3.3,72000
Jaguar,F-Type,2021,3.0,380.0,339.0,4.9,62750
Mercedes-Benz,SLS AMG,2021,6.2,622.0,468.0,3.6,254995
Nissan,370Z,2021,3.7,332.0,270.0,5.2,30000
Audi,RS 7,2021,4.0,591.0,590.0,3.4,114000
Bentley,Continental GT,2021,4.0,542.0,568.0,3.9,220000
Porsche,Cayman,2022,2.0,300.0,280.0,4.5,59900
Audi,RS 5,2022,2.9,444.0,443.0,3.5,75100
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,60695
Ferrari,F8 Spider,2022,3.9,710.0,568.0,2.9,274390
Jaguar,F-Type,2021,3.0,296.0,295.0,5.4,64700
Lamborghini,Aventador,2021,6.5,759.0,531.0,2.9,517770
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,99990
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,150800
Mercedes-Benz,AMG C 63,2021,4.0,469.0,479.0,3.8,67600
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.5,45790
Porsche,Panamera,2022,2.9,325.0,331.0,5.3,88800
Subaru,WRX STI,2021,2.5,310.0,290.0,5.2,38170
Lamborghini,Aventador,2021,6.5,729.0,509.0,2.9,393695
Audi,RS5 Coupe,2022,2.9,444.0,443.0,3.5,76350
McLaren,570S,2021,3.8,562.0,443.0,3.1,202000
Mercedes-Benz,SL,2022,3.0,429.0,384.0,4.4,96000
Nissan,370Z,2021,3.7,332.0,270.0,5.3,33000
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,75250
Aston Martin,DB11,2022,4.0,630.0,516.0,3.7,201495
Bentley,Continental GT,2021,6.0,626.0,664.0,3.3,201000
Dodge,Challenger,2021,6.4,485.0,475.0,3.8,62000
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,99000
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,150000
Aston Martin,Vantage,2022,4.0,503.0,505.0,3.5,149995
Dodge,Charger SRT Hellcat,2022,6.2,717.0,650.0,3.5,78595
Chevrolet,Camaro SS,2022,6.2,455.0,455.0,4.1,37500
Ford,Mustang GT,2022,5.0,460.0,420.0,4.0,38500
McLaren,570S,2021,3.8,562.0,443.0,3.1,208800
Mercedes-Benz,AMG C63,2022,4.0,469.0,479.0,3.8,71450
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.9,47820
Porsche,Panamera GTS,2021,4.0,473.0,457.0,3.9,134150
BMW,M4,2021,3.0,473.0,406.0,3.8,71800
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.9,393695
McLaren,GT,2021,4.0,612.0,465.0,3.1,250000
Mercedes-Benz,AMG GT 4-Door Coupe,2021,4.0,630.0,664.0,3.1,171200
Aston Martin,DBS Superleggera,2022,5.2,715.0,663.0,3.4,321000
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100500
McLaren,570S,2021,3.8,562.0,443.0,3.1,195000
Audi,RS7 Sportback,2022,4.0,591.0,590.0,3.5,114000
Mercedes-AMG,C63 S,2022,4.0,503.0,516.0,3.7,78100
Dodge,Charger Hellcat,2021,6.2,717.0,650.0,3.6,70000
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,78450
Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.0,52915
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,147000
Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.5,3900000
Pagani,Huayra,2021,6.0,764.0,740.0,2.8,2600000
Maserati,MC20,2021,3.0,621.0,538.0,2.9,210000
Porsche,Cayman,2021,2.0,300.0,280.0,5.1,59900
McLaren,GT,2022,4.0,612.0,465.0,3.1,210000
BMW,M2,2021,3.0,405.0,406.0,4.0,58900
Mercedes-Benz,SLS AMG,2021,6.3,622.0,468.0,3.6,254500
Ford,Mustang,2021,2.3,310.0,350.0,5.3,27205
Nissan,370Z,2021,3.7,332.0,270.0,5.1,30090
Koenigsegg,Jesko,2022,5.0,1280.0,1106.0,2.5,3000000
Pagani,Huayra,2021,6.0,764.0,738.0,3.0,2600000
